    1        0.3550      -0.0303       1.9953
    2        0.3229       0.1511       1.9952
    3        0.2045       0.2923       1.9952
    4        0.0313       0.3553       1.9952
    5       -0.1501       0.3233       1.9953
    6       -0.2912       0.2048       1.9953
    7       -0.3543       0.0317       1.9954
    8       -0.3222      -0.1497       1.9955
    9       -0.2038      -0.2909       1.9955
   10       -0.0306      -0.3539       1.9955
   11        0.1508      -0.3219       1.9954
   12        0.2919      -0.2034       1.9954
   13        0.7198      -0.0596      -1.9978
   14        0.6528       0.3084      -1.9979
   15        0.4108       0.5935      -1.9980
   16        0.0585       0.7194      -1.9980
   17       -0.3095       0.6524      -1.9979
   18       -0.5946       0.4104      -1.9977
   19       -0.7205       0.0582      -1.9976
   20       -0.6535      -0.3098      -1.9975
   21       -0.4115      -0.5949      -1.9974
   22       -0.0592      -0.7208      -1.9974
   23        0.3088      -0.6538      -1.9975
   24        0.5939      -0.4118      -1.9976
   25        4.1241       1.3049      -0.0098
   26        1.9935       3.8388      -0.0103
   27       -1.3049       4.1241      -0.0099
   28       -3.8388       1.9935      -0.0087
   29       -4.1241      -1.3049      -0.0075
   30       -1.9935      -3.8388      -0.0070
   31        1.3049      -4.1241      -0.0074
   32        3.8388      -1.9935      -0.0086
